taxon,run,sample_size,n_taxa,n_random,change,diff,1.1,1.2,1.3,2.1,2.2,2.3,Student.t.test_pvals,Student.t.test_pvalsAdj,Student.t.test_effect
28,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,NA,-1
43,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,NA,-1
85,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
90,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
105,1,2,10000,75,2,FALSE,1,0,NA,0,1,NA,0.9842190710319705,0.9960107570002104,-0.022322913517895226
106,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
116,1,2,10000,75,2,FALSE,4,5,NA,5,5,NA,0.46596991979231683,0.6154818342743119,-1.0544467966645374
128,1,2,10000,75,2,FALSE,3,2,NA,4,4,NA,0.19042317869927972,0.6154818342743119,-2.977478005705818
134,1,2,10000,75,2,TRUE,0,0,NA,0,2,NA,0.49999999999999956,0.6154818342743119,-1
136,1,2,10000,75,2,FALSE,431,327,NA,259,416,NA,0.7590293937113337,0.8395325112261721,0.3614543797104351
143,1,2,10000,75,2,FALSE,3,7,NA,4,3,NA,0.5910776718636976,0.6945459967171014,0.7288037967298583
145,1,2,10000,75,2,FALSE,55,46,NA,57,47,NA,0.7938628125054168,0.8665717429965671,-0.29955449257813965
163,1,2,10000,75,2,FALSE,16,14,NA,15,12,NA,0.45207590886421734,0.6154818342743119,0.9297724037778939
191,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
212,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
220,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
222,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
291,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
311,1,2,10000,75,2,TRUE,0,0,NA,0,2,NA,0.49999999999999956,0.6154818342743119,-1
367,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
371,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
377,1,2,10000,75,2,FALSE,483,413,NA,484,428,NA,0.8196396616036162,0.8831541741264057,-0.2727359597127245
380,1,2,10000,75,2,FALSE,2,5,NA,0,1,NA,0.27223900795468625,0.6154818342743119,1.8842977177699285
386,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
391,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
413,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
423,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
462,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
468,1,2,10000,75,2,FALSE,65,70,NA,78,65,NA,0.5189009256355852,0.6287098352099206,-0.8283567486162466
486,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
492,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
525,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
555,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
